fact_key,video_sk,channel_sk,views_count,likes_count,dislikes_count,comments_count,engagement_rate,virtual_revenue,grab_date,_batch_id
3205,3205,-1,1438636,4900,2000,0,0.0048,2877.27,2019-11-20 13:53:50.047,run_initial_20260725_085047_7fde
3206,3206,5909,22219,462,25,0,0.0219,44.44,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3207,3207,12992,7088190,136000,4800,0,0.0199,14176.38,2019-11-18 23:57:03.333,run_initial_20260725_085047_7fde
3208,3208,10304,1129633,38000,436,0,0.034,2259.27,2019-11-20 08:55:09.377,run_initial_20260725_085047_7fde
3209,3209,-1,43944,463,44,0,0.0115,87.89,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3210,3210,9834,2372266,13000,1600,0,0.0062,4744.53,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3211,3211,-1,6902020,260000,1400,0,0.0379,13804.04,2019-11-20 12:10:24.183,run_initial_20260725_085047_7fde
3212,3212,-1,680935,6400,210,0,0.0097,1361.87,2019-11-19 07:10:58.670,run_initial_20260725_085047_7fde
3213,3213,13077,684841,2800,196,0,0.0044,1369.68,2019-11-20 08:04:46.553,run_initial_20260725_085047_7fde
3214,3214,268,894628,22000,911,0,0.0256,1789.26,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3215,3215,13967,16057,47,2,0,0.0031,32.11,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3216,3216,3984,490572,6000,436,0,0.0131,981.14,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3217,3217,3838,40908,198,18,0,0.0053,81.82,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3218,3218,2165,2022990,3500,872,0,0.0022,4045.98,2019-11-19 06:00:00.000,run_initial_20260725_085047_7fde
3219,3219,11225,260690,2500,254,0,0.0106,521.38,2019-11-19 05:43:34.543,run_initial_20260725_085047_7fde
3220,3220,3239,180011,805,67,0,0.0048,360.02,2019-11-19 08:00:51.723,run_initial_20260725_085047_7fde
